Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,44700.000000,46400.000000,44450.000000,44650.000000,44650.000000,75866
2015-04-02,45250.000000,45250.000000,44500.000000,44600.000000,44600.000000,52664
2015-04-03,45000.000000,45200.000000,44250.000000,44350.000000,44350.000000,28967
2015-04-06,44400.000000,44950.000000,44350.000000,44700.000000,44700.000000,15665
2015-04-07,44700.000000,45250.000000,44450.000000,44500.000000,44500.000000,51049
2015-04-08,44650.000000,45000.000000,40800.000000,41050.000000,41050.000000,256169
2015-04-09,41750.000000,42200.000000,41250.000000,41650.000000,41650.000000,152270
2015-04-10,41800.000000,43200.000000,41800.000000,42750.000000,42750.000000,124862
2015-04-13,42800.000000,43450.000000,41500.000000,42450.000000,42450.000000,141847
2015-04-14,42100.000000,42600.000000,41400.000000,41550.000000,41550.000000,113688
2015-04-15,41950.000000,42750.000000,41800.000000,42700.000000,42700.000000,110398
2015-04-16,42700.000000,43200.000000,41850.000000,42800.000000,42800.000000,70342
2015-04-17,42600.000000,43200.000000,42250.000000,43150.000000,43150.000000,143493
2015-04-20,43150.000000,43800.000000,42350.000000,42850.000000,42850.000000,105712
2015-04-21,42950.000000,43500.000000,42200.000000,42850.000000,42850.000000,87934
2015-04-22,43000.000000,43050.000000,39700.000000,42000.000000,42000.000000,98810
2015-04-23,41600.000000,42800.000000,41550.000000,42600.000000,42600.000000,66412
2015-04-24,42200.000000,42800.000000,41600.000000,42600.000000,42600.000000,69561
2015-04-27,42550.000000,43800.000000,42050.000000,42850.000000,42850.000000,57272
2015-04-28,42950.000000,44300.000000,42500.000000,43500.000000,43500.000000,98707
2015-04-29,44100.000000,44650.000000,43850.000000,44100.000000,44100.000000,62417
2015-04-30,44150.000000,44550.000000,43650.000000,44300.000000,44300.000000,60092
2015-05-04,44400.000000,44950.000000,43850.000000,44450.000000,44450.000000,41118
2015-05-06,44700.000000,44750.000000,42000.000000,42100.000000,42100.000000,95400
2015-05-07,42100.000000,44000.000000,41500.000000,43800.000000,43800.000000,70701
2015-05-08,43600.000000,43600.000000,42700.000000,42700.000000,42700.000000,25378
2015-05-11,42700.000000,43400.000000,42400.000000,43250.000000,43250.000000,35846
2015-05-12,43000.000000,43300.000000,42100.000000,42300.000000,42300.000000,39192
2015-05-13,42000.000000,43900.000000,41750.000000,43550.000000,43550.000000,62051
2015-05-14,43700.000000,45250.000000,43650.000000,45150.000000,45150.000000,114959
2015-05-15,46250.000000,47500.000000,45550.000000,47000.000000,47000.000000,118170
2015-05-18,47200.000000,47600.000000,45350.000000,46450.000000,46450.000000,75322
2015-05-19,46200.000000,46950.000000,44400.000000,45100.000000,45100.000000,99121
2015-05-20,45100.000000,45150.000000,44500.000000,44750.000000,44750.000000,119038
2015-05-21,44550.000000,46450.000000,44150.000000,45700.000000,45700.000000,92252
2015-05-22,46400.000000,46400.000000,45000.000000,45800.000000,45800.000000,70269
2015-05-26,46650.000000,46650.000000,44750.000000,45900.000000,45900.000000,41195
2015-05-27,45800.000000,45800.000000,44250.000000,44450.000000,44450.000000,66633
2015-05-28,44650.000000,45550.000000,44450.000000,45000.000000,45000.000000,47509
2015-05-29,44550.000000,45000.000000,44400.000000,44800.000000,44800.000000,55600
2015-06-01,44800.000000,44950.000000,43500.000000,44900.000000,44900.000000,35670
2015-06-02,44900.000000,45250.000000,44400.000000,44600.000000,44600.000000,36083
2015-06-03,44300.000000,44600.000000,42700.000000,43300.000000,43300.000000,78980
2015-06-04,42850.000000,43850.000000,42450.000000,43000.000000,43000.000000,37886
2015-06-05,42850.000000,43300.000000,42250.000000,43050.000000,43050.000000,28228
2015-06-08,42500.000000,43150.000000,42100.000000,42550.000000,42550.000000,45539
2015-06-09,42350.000000,44100.000000,42150.000000,43650.000000,43650.000000,42111
2015-06-10,43300.000000,44550.000000,42850.000000,44550.000000,44550.000000,53300
2015-06-11,44550.000000,44800.000000,43000.000000,43400.000000,43400.000000,64187
2015-06-12,43400.000000,43400.000000,41950.000000,43300.000000,43300.000000,26622
2015-06-15,43300.000000,43600.000000,42700.000000,43300.000000,43300.000000,37298
2015-06-16,42700.000000,43700.000000,41850.000000,42700.000000,42700.000000,33518
2015-06-17,42750.000000,44100.000000,42400.000000,43550.000000,43550.000000,58910
2015-06-18,44200.000000,44200.000000,41800.000000,41950.000000,41950.000000,101939
2015-06-19,42000.000000,42300.000000,40200.000000,41000.000000,41000.000000,147776
2015-06-22,40650.000000,41600.000000,40650.000000,41450.000000,41450.000000,50798
2015-06-23,41600.000000,42200.000000,41200.000000,41650.000000,41650.000000,48201
2015-06-24,41850.000000,41850.000000,40500.000000,40650.000000,40650.000000,79109
2015-06-25,40500.000000,41650.000000,40100.000000,41250.000000,41250.000000,112860
2015-06-26,41500.000000,41600.000000,40850.000000,40850.000000,40850.000000,106013
2015-06-29,40050.000000,41450.000000,40050.000000,40850.000000,40850.000000,54545
2015-06-30,40950.000000,41450.000000,40300.000000,41100.000000,41100.000000,50371
2015-07-01,41300.000000,42250.000000,41250.000000,41650.000000,41650.000000,72107
2015-07-02,41650.000000,42700.000000,41500.000000,42500.000000,42500.000000,70170
2015-07-03,43000.000000,44100.000000,42600.000000,44050.000000,44050.000000,115289
2015-07-06,43700.000000,44000.000000,42500.000000,43400.000000,43400.000000,65459
2015-07-07,42900.000000,44200.000000,42800.000000,43700.000000,43700.000000,71078
2015-07-08,44450.000000,44450.000000,42550.000000,42850.000000,42850.000000,34208
2015-07-09,41800.000000,43500.000000,40850.000000,42600.000000,42600.000000,82757
2015-07-10,42950.000000,46050.000000,42400.000000,46000.000000,46000.000000,203800
2015-07-13,45600.000000,46500.000000,45150.000000,46150.000000,46150.000000,83232
2015-07-14,46000.000000,46200.000000,44400.000000,44500.000000,44500.000000,66741
2015-07-15,44200.000000,45100.000000,44000.000000,44600.000000,44600.000000,42961
2015-07-16,44400.000000,46200.000000,44000.000000,45900.000000,45900.000000,37816
2015-07-17,45900.000000,46050.000000,45200.000000,45600.000000,45600.000000,19518
2015-07-20,45300.000000,46200.000000,44750.000000,45350.000000,45350.000000,61256
2015-07-21,45000.000000,45350.000000,43900.000000,44150.000000,44150.000000,56380
2015-07-22,44500.000000,44700.000000,43350.000000,44050.000000,44050.000000,89209
2015-07-23,43700.000000,44000.000000,43200.000000,43500.000000,43500.000000,59046
2015-07-24,43300.000000,44000.000000,42850.000000,43550.000000,43550.000000,62448
2015-07-27,43100.000000,43400.000000,41650.000000,43300.000000,43300.000000,73098
2015-07-28,42750.000000,43100.000000,41250.000000,41700.000000,41700.000000,120999
2015-07-29,42400.000000,43600.000000,42150.000000,43150.000000,43150.000000,58612
2015-07-30,43000.000000,44100.000000,42750.000000,43450.000000,43450.000000,40166
2015-07-31,43200.000000,43650.000000,43050.000000,43150.000000,43150.000000,36446
2015-08-03,43600.000000,43700.000000,42050.000000,42400.000000,42400.000000,37465
2015-08-04,42050.000000,42550.000000,41750.000000,42050.000000,42050.000000,26526
2015-08-05,42050.000000,42450.000000,41650.000000,41700.000000,41700.000000,57197
2015-08-06,42050.000000,42750.000000,41950.000000,42200.000000,42200.000000,16716
2015-08-07,42500.000000,42550.000000,41750.000000,41750.000000,41750.000000,36188
2015-08-10,41950.000000,42650.000000,41400.000000,42650.000000,42650.000000,27449
2015-08-11,43350.000000,43350.000000,42750.000000,42900.000000,42900.000000,38329
2015-08-12,42650.000000,42650.000000,41250.000000,41800.000000,41800.000000,55161
2015-08-13,41800.000000,42050.000000,40900.000000,40900.000000,40900.000000,99091
2015-08-14,40900.000000,40900.000000,40900.000000,40900.000000,40900.000000,0
2015-08-17,41000.000000,41150.000000,37900.000000,38150.000000,38150.000000,174499
2015-08-18,38150.000000,38650.000000,36900.000000,37500.000000,37500.000000,67324
2015-08-19,37000.000000,37600.000000,35400.000000,36750.000000,36750.000000,76817
2015-08-20,36950.000000,37850.000000,36700.000000,37000.000000,37000.000000,73647
2015-08-21,35850.000000,36000.000000,33500.000000,35150.000000,35150.000000,79323
2015-08-24,34100.000000,35650.000000,32150.000000,32200.000000,32200.000000,61756
2015-08-25,33300.000000,35000.000000,32700.000000,34700.000000,34700.000000,90678
2015-08-26,34300.000000,36450.000000,34300.000000,36300.000000,36300.000000,49458
2015-08-27,36450.000000,37650.000000,35150.000000,35850.000000,35850.000000,108604
2015-08-28,36350.000000,37250.000000,36300.000000,36550.000000,36550.000000,112679
2015-08-31,36250.000000,38000.000000,35950.000000,38000.000000,38000.000000,34999
2015-09-01,38000.000000,38000.000000,36350.000000,36400.000000,36400.000000,60655
2015-09-02,36000.000000,36000.000000,35200.000000,35800.000000,35800.000000,80964
2015-09-03,35800.000000,38000.000000,35800.000000,37500.000000,37500.000000,54764
2015-09-04,37500.000000,37700.000000,34650.000000,35300.000000,35300.000000,84478
2015-09-07,35300.000000,36300.000000,34750.000000,35300.000000,35300.000000,34493
2015-09-08,35300.000000,35550.000000,34100.000000,35000.000000,35000.000000,36188
2015-09-09,35650.000000,36200.000000,34900.000000,35700.000000,35700.000000,35233
2015-09-10,35100.000000,35550.000000,34700.000000,34700.000000,34700.000000,39453
2015-09-11,34650.000000,35200.000000,34650.000000,34900.000000,34900.000000,28256
2015-09-14,34900.000000,35500.000000,34600.000000,34800.000000,34800.000000,22461
2015-09-15,35150.000000,35350.000000,34050.000000,34600.000000,34600.000000,25620
2015-09-16,34950.000000,35350.000000,34400.000000,34950.000000,34950.000000,29400
2015-09-17,35350.000000,35500.000000,34900.000000,35200.000000,35200.000000,15593
2015-09-18,35350.000000,35550.000000,34700.000000,35000.000000,35000.000000,46938
2015-09-21,34950.000000,35800.000000,34600.000000,35750.000000,35750.000000,45430
2015-09-22,35850.000000,37050.000000,35850.000000,36900.000000,36900.000000,53182
2015-09-23,36700.000000,36900.000000,35550.000000,35550.000000,35550.000000,19536
